Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Statistical process control as a tool for research and healthcare improvement","Statistical process control (SPC) and its primary tool, control charts, help researchers and practitioners better understand and communicate data from healthcare improvement efforts.","J. Benneyan, R. Lloyd, P. E. Plsek, Mr P E Plsek, P. E. Plsek",2003,1030,"Improvement of health care requires making changes in processes of care and service delivery. Although process performance is measured to determine if these changes are having the desired beneficial effects, this analysis is complicated by the existence of natural variation-that is, repeated measurements naturally yield different values and, even if nothing was done, a subsequent measurement might seem to indicate a better or worse performance. Traditional statistical analysis methods account for natural variation but require aggregation of measurements over time, which can delay decision making. Statistical process control (SPC) is a branch of statistics that combines rigorous time series analysis methods with graphical presentation of data, often yielding insights into the data more quickly and in a way more understandable to lay decision makers. SPC and its primary tool-the control chart-provide researchers and practitioners with a method of better understanding and communicating data from healthcare improvement efforts. This paper provides an overview of SPC and several practical examples of the healthcare applications of control charts.","","Quality and Safety in Health Care","1","10.1136/qhc.12.6.458","https://consensus.app/papers/statistical-process-control-as-a-tool-for-research-and-benneyan-lloyd/26f5365942b75e39bd9a3a183f2c7636/"
"Application of statistical process control in healthcare improvement: systematic review","Statistical process control is a versatile tool that can improve healthcare processes and enable patients to manage their own health, with benefits, limitations, and barriers depending on its smart application.","J. Thor, Jonas Lundberg, J. Ask, Jesper Olsson, C. Carli, K. P. Härenstam, M. Brommels",2007,416,"To systematically review the literature regarding how statistical process control--with control charts as a core tool--has been applied to healthcare quality improvement, and to examine the benefits, limitations, barriers and facilitating factors related to such application. Original articles found in relevant databases, including Web of Science and Medline, covering the period 1966 to June 2004. From 311 articles, 57 empirical studies, published between 1990 and 2004, met the inclusion criteria. A standardised data abstraction form was used for extracting data relevant to the review questions, and the data were analysed thematically. Statistical process control was applied in a wide range of settings and specialties, at diverse levels of organisation and directly by patients, using 97 different variables. The review revealed 12 categories of benefits, 6 categories of limitations, 10 categories of barriers, and 23 factors that facilitate its application and all are fully referenced in this report. Statistical process control helped different actors manage change and improve healthcare processes. It also enabled patients with, for example asthma or diabetes mellitus, to manage their own health, and thus has therapeutic qualities. Its power hinges on correct and smart application, which is not necessarily a trivial task. This review catalogs 11 approaches to such smart application, including risk adjustment and data stratification. Statistical process control is a versatile tool which can help diverse stakeholders to manage change in healthcare and improve patients' health.","systematic review","Quality and Safety in Health Care","1","10.1136/qshc.2006.022194","https://consensus.app/papers/application-of-statistical-process-control-in-healthcare-thor-lundberg/746fc040cef452e086d501f4f611b943/"
"Use of statistical process control in quality improvement projects in abdominal surgery: a PRISMA systematic review","SPCs are increasingly used in abdominal surgery specialties, but their use is still less than in other fields like anesthesia, and their analysis needs improvement to prevent erroneous conclusions.","Yara Lima de Mendonça, Rubiana Sarto, Hannes Titeca, Rob Bethune, A. Salmon",2024,1,"The use of quality improvement methodology has increased in recent years due to a perceived benefit in effectively reducing morbidity, mortality and length of stay. Statistical process control (SPC) is an important tool to evaluate these actions, but its use has been limited in abdominal surgery. Previous systematic reviews have examined the use of SPC in healthcare, but relatively few surgery-related articles were found at that time. To perform a systematic review (SR) to evaluate the application of SPC on abdominal surgery specialties between 2004 and 2019. An SR following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses flow diagram was completed using Embase and Ovid Medline with terms related to abdominal surgery and SPC. A total of 20 articles were selected after applying the exclusion criteria. Most of the articles came from North America, Europe and Australia, and half have been published in the last 5 years. The most common outcome studied was surgical complications. Urology, colorectal and paediatric surgery made up most of the articles. Articles show the application of SPC in various outcomes and the use of different types of graphs, demonstrating flexibility in using SPC. However, some studies did not use SPC in a robust way and these studies were of variable quality. This study shows that SPCs are being applied increasingly for most surgical specialties; however, it is still less used than in other fields, such as anaesthesia. We identified conceptual errors in several studies, such as issues with the design or incorrect data analysis. SPCs can be used to increase the quality of surgical care; the use should increase, but critically, the analysis needs to improve to prevent erroneous conclusions being drawn.","systematic review","BMJ Open Quality","2","10.1136/bmjoq-2023-002328","https://consensus.app/papers/use-of-statistical-process-control-in-quality-improvement-mendona-sarto/2b8c6ac1b359552e8084702453e72635/"
"Statistical process control and interrupted time series: a golden opportunity for impact evaluation in quality improvement","SPC and ITS data offer a valuable opportunity for learning and improving healthcare quality, but are often underutilized due to limited publication and rigorous impact evaluation.","A. Fretheim, Oliver Tomic",2015,88,"Time series plots are widely used, across sectors and media, probably because many find them easy to understand. Figure 1 is a time series plot of how the readmission rate in a hospital changed over time (constructed data set).



Figure 1 
Example of fictive time series data displaying the percentage of discharged patients readmitted to the hospital within 30 days for each month. The time series stretches over 31 months. After month 17, a quality improvement programme was introduced to reduce the proportion of patients readmitted to the hospital.



Statistical process control (SPC) and interrupted time series (ITS) designs are two closely related methodologies in the field of quality improvement. In both approaches, data are organised in time series and presented using time series plots. Both SPC and ITS use data to assess whether observed changes reflect random variation or ‘real’ change.

SPC is a popular method in quality improvement in the health sector worldwide, with scores of time series data collected. These data represent a golden but largely lost opportunity for learning and improving quality of care. First, because findings from SPC projects are rarely published: Thor and colleagues searched comprehensively for reports on the use of SPC in healthcare quality improvement and identified only 57 articles published between 1990 and 2004.1 Second—we will argue—because the potential for rigorous impact evaluation based on SPC data is not fully exploited.

Simplified, SPC is a tool for monitoring processes by means of time series plots. Two key concepts in SPC are ‘common cause variation’ and ‘special cause variation’. Common cause variation implies that the observed variation reflects random fluctuations. When this is the case, the process is ‘in control’. On the other hand, a process is not in control when there is more variation than can be expected by chance alone, that is, the variation …","","BMJ Quality & Safety","1","10.1136/bmjqs-2014-003756","https://consensus.app/papers/statistical-process-control-and-interrupted-time-series-a-fretheim-tomic/b0b4bf2b4d915a30a9b56d1ef32f4432/"
"Integrating DMAIC approach of Lean Six Sigma and theory of constraints toward quality improvement in healthcare","Integrating Lean Six Sigma's DMAIC approach with the theory of constraints can improve healthcare quality by reducing medical costs, errors, and defects.","Selim Ahmed",2019,101,"Healthcare is a unique service industry and it deals with complex tasks. To overcome complex tasks, healthcare organizations need to implement DMAIC (Define, Measure, Analyze, Improve, Control) approach of Lean Six Sigma (LSS) to improve quality performance. Application of DMAIC in a healthcare organization provides guidelines on how to handle a quality service system toward patient satisfaction. This approach also helps healthcare service providers to reduce waste, variation and work imbalance in the service processes. This chapter discusses five phases of DMAIC approach and its integration with the theory of constraints (TOC) for continuous improvements in healthcare performance. The integration of TOC and DMAIC approach would enhance healthcare performance by reducing medical costs, medical errors, administration errors and defects. Moreover, this integration can improve performance in healthcare service processes where it is not possible to reduce bottlenecks.","","Reviews on Environmental Health","2","10.1515/reveh-2019-0003","https://consensus.app/papers/integrating-dmaic-approach-of-lean-six-sigma-and-theory-of-ahmed/843751c00fdd5871953d97d1bd6983d5/"
"Lean and Six Sigma as continuous quality improvement frameworks in the clinical diagnostic laboratory","Lean and Six Sigma techniques can improve clinical laboratory performance and patient satisfaction by reducing waste, variation, and work imbalances.","Vinita Thakur, O. A. Akerele, E. Randell",2022,61,"Processes to enhance customer-related services in healthcare organizations are complex and it can be difficult to achieve efficient patient-focused services. Laboratories make an integral part of the healthcare service industry where healthcare providers deal with critical patient results. Errors in these processes may cost a human life, create a negative impact on an organization's reputation, cause revenue loss, and open doors for expensive lawsuits. To overcome these complexities, healthcare organizations must implement an approach that helps healthcare service providers to reduce waste, variation, and work imbalance in the service processes. Lean and Six Sigma are used as continuous process improvement frameworks in laboratory medicine. Six Sigma uses an approach that involves problem-solving, continuous improvement and quantitative statistical process control. Six Sigma is a technique based on the DMAIC process (Define, Measure, Analyze, Improve, and Control) to improve quality performance. Application of DMAIC in a healthcare organization provides guidance on how to handle quality that is directed toward patient satisfaction in a healthcare service industry. The Lean process is a technique for process management in which waste reduction is the primary purpose; this is accomplished by implementing waste mitigation practices and methodologies for quality improvement. Overall, this article outlines the frameworks for continuous quality and process improvement in healthcare organizations, with a focus on the impacts of Lean and Six Sigma on the performance and quality service delivery system in clinical laboratories. It also examines the role of utilization management and challenges that impact the implementation of Lean and Six Sigma in clinical laboratories.","","Critical Reviews in Clinical Laboratory Sciences","1","10.1080/10408363.2022.2106544","https://consensus.app/papers/lean-and-six-sigma-as-continuous-quality-improvement-thakur-akerele/307a2ed1244b58e98d735d74627bdb33/"
"Enhancing Hospital Pharmacy Operations Through Lean and Six Sigma Strategies: A Systematic Review","Lean and Six Sigma strategies significantly improve hospital pharmacy operations, leading to decreased medication turnaround time, enhanced process efficiency, and increased satisfaction and cost savings.","Mohammed Sallam",2024,28,"Hospital pharmacies are integral to the healthcare system, and evaluating the factors influencing their efficiency and service standards is imperative. This analysis offers global insights to assist in developing strategies for future enhancements. The objective is to identify the optimal Lean Six Sigma methodologies to improve workflow and quality of hospital pharmacy services. A strategic search, aligned with the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, encompassed an extensive range of academic databases, including Scopus, PubMed/Medline, Web of Science, and other sources for relevant studies published from 2009 to 2023. The focus was on management tactics and those examining outcomes, prioritizing publications reflecting pharmacy operations management's state. The quality of the selected articles was assessed, and the results were combined and analyzed. The search yielded 1,447 studies, of which 73 met the inclusion criteria. The systematic review found a low to moderate overall risk of bias. The number of publications rose during the coronavirus disease (COVID-19) outbreak. Among studies, research output in the United States of America represented 26% of the total. Other countries such as Indonesia, Spain, Canada, China, Saudi Arabia, the United Arab Emirates, and the United Kingdom also made significant contributions. Each country accounted for 12%, 8%, 7%, 5%, 5%, 5%, and 5%, respectively. The pharmacy journals led with 26 publications, and healthcare/medical with 14. The quality category came next with 12 articles, while seven journals represented engineering. Studies used empirical and observational methods, focusing on practice quality enhancement. The process control plan had 26 instances, and the define, measure, analyze, improve, and control (DMAIC) was identified 13 times. The sort, set in order, shine, standardize, and sustain (5S) ranked third, totaling seven occurrences. Failure mode and effects analysis (FMEA) and root cause analysis were moderately utilized, with six and four instances, respectively. Poka-Yoke (mistake-proofing measures) and value stream mapping were each counted three times. Quality improvement and workflow optimization dominated managerial strategies in 22 (30.14%) studies each, followed by technology integration in 15 (20.55%). Cost, patient care, and staffing each featured in three (4.11%) studies, while two (2.74%) focused on inventory management. One (1.37%) study each highlighted continuing education, collaboration, and policy changes. Analysis of the 73 studies on Lean and Six Sigma in hospital pharmacy operations showed significant impacts, with 26% of studies reporting decreased medication turnaround time, 15% showing process efficiency improvements, and 11% each for enhanced inventory management and bottleneck/failure mode reduction. Additionally, 9% of studies observed decreased medication errors, 8% noted increased satisfaction and cost savings, 6% identified enhancements in clinical activities, 3% improved prescription accuracy, 2% reduced workflow interruptions, and 1% reported increased knowledge. Also, this study has identified key strategies for service delivery improvement and the importance of quality practices and lean leadership. To the best of the author's knowledge, this research is believed to be the first in-depth analysis of Lean and Six Sigma in the hospital pharmacy domain, spanning 15 years from 2009 to 2023.","systematic review","Cureus","","10.7759/cureus.57176","https://consensus.app/papers/enhancing-hospital-pharmacy-operations-through-lean-and-sallam/ce3ab1aae5b658499d99eca907ea191e/"
"Define, Measure, Analyze, Improve, Control (DMAIC) Methodology as a Roadmap in Quality Improvement","The DMAIC method, a 5-step approach in Lean Six Sigma, effectively reduces waste and variation in processes by focusing on data and continuous quality improvement.","Lea M. Monday",2022,41,"The term DMAIC, which stands for ‘‘define, measure, analyze, improve, and control,’’ represents a method for process analysis used in Lean Six Sigma. To understand DMAIC methodology, one must first know the history of Lean and Six Sigma. ‘‘Lean’’ production originates from the Toyota Production System introduced in Japan by engineer Taiichi Ohno in the 1950s through 1980s. Lean principles (aspects of which are shaped by Japanese culture and Japanese Zen Buddhism) are designed to permeate every aspect of an organization from company culture and philosophy down to leadership, technology, teamwork, and task standardization. Ultimately, the goal of Lean is to improve efficiency of a process and deliver the best product by eliminating waste. Six Sigma is a Western concept that originated from statistical modeling of manufacturing processes themselves. In the 1920s, Walter Shewhart created the basis for statistical process control with the concept that observed variation in a manufacturing process leads to deviation which results in an unideal product. Furthermore, changing a manufacturing process without proper analysis can worsen variation and result in more defects. Shewhart went on to work with physicist Edwards Deming to develop the ‘‘Plan Do Study Act’’ (PDSA) cycle in the 1930s. These concepts were applied by engineer Bill Smith in the 1980s to reduce process variation at Motorola and were coined, ‘‘Six Sigma.’’ [2] ‘‘Lean Six Sigma’’ combines the principles of both Lean and Six Sigma with the overarching goal to reduce both waste and variation within a system using data and continuous quality improvement. To reduce variation in a process, Six Sigma utilizes statistical analysis through a 5-step approach called the DMAIC method.","","Global Journal on Quality and Safety in Healthcare","","10.36401/jqsh-22-x2","https://consensus.app/papers/define-measure-analyze-improve-control-dmaic-methodology-monday/ccd273ca4a4c527ca926c8528a9a7b6e/"
"DMAIC in improving patient care processes: evaluation based on a systematic review from the perspective of Lean Six Sigma in healthcare","DMAIC, a Six Sigma methodological framework, has been successfully implemented in healthcare processes, reducing length of stay, increasing patient satisfaction, and reducing employee satisfaction.","Milena Estanislau Diniz Mansur dos Reis, Melissa Felix De Abreu, Cauê Ramos Campos, Flávia Silva de Souza",2023,3,"DMAIC is a Six Sigma methodological framework that has attracted the attention of researchers in the field of health (REIS et al., 2021). It is noticed that DMAIC has been used in several processes in health services, such as dispensing medication, hospital discharge and patient admission. Lean Six Sigma, based on the association of DMAIC with lean, brought important and valuable results in the context of health care, such as reducing the length of stay (LOS) in services, increasing patient satisfaction and reducing employee satisfaction. This study aims to evaluate how Lean Six Sigma/DMAIC has been implemented in the health area and its impacts on patient health care processes.","systematic review","Revista Meta: Avaliação","","10.22347/2175-2753v0i0.4054","https://consensus.app/papers/dmaic-in-improving-patient-care-processes-evaluation-reis-abreu/80c1a90eaaad5b88a1143f95785d870f/"
"Challenging Cases in Statistical Process Control for Quality Improvement in Neonatal Intensive Care.","","Munish Gupta, L. Provost, H. Kaplan",2023,7,"","","Clinics in perinatology","2","10.1016/j.clp.2023.02.004","https://consensus.app/papers/challenging-cases-in-statistical-process-control-for-gupta-provost/ac88257efbf45d90894e2c564fa6a912/"
