Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Adoption of Health Information Technology Among US Nursing Facilities.","Innovative nursing facilities have more than 6 times the odds of adopting electronic health records, with interoperability being the most common barrier to clinical information sharing.","J. Vest, Hye-Young Jung, Kevin K. Wiley, Harold E. Kooreman, Lorren Pettit, M. Unruh",2019,50,"","non-rct observational study","Journal of the American Medical Directors Association","1","10.1016/j.jamda.2018.11.002","https://consensus.app/papers/adoption-of-health-information-technology-among-us-vest-jung/9a90caa815a753d0b12d790e9878d5ff/"
"Barriers to Electronic Health Record Adoption: a Systematic Literature Review","Barriers to electronic health record adoption include cost, technical concerns, technical support, and resistance to change, highlighting the need for policy makers to reduce implementation costs.","C. Kruse, Caitlin Kristof, Beau Jones, Erica Mitchell, A. Martinez",2016,270,"Federal efforts and local initiatives to increase adoption and use of electronic health records (EHRs) continue, particularly since the enactment of the Health Information Technology for Economic and Clinical Health (HITECH) Act. Roughly one in four hospitals not adopted even a basic EHR system. A review of the barriers may help in understanding the factors deterring certain healthcare organizations from implementation. We wanted to assemble an updated and comprehensive list of adoption barriers of EHR systems in the United States. Authors searched CINAHL, MEDLINE, and Google Scholar, and accepted only articles relevant to our primary objective. Reviewers independently assessed the works highlighted by our search and selected several for review. Through multiple consensus meetings, authors tapered articles to a final selection most germane to the topic (n = 27). Each article was thoroughly examined by multiple authors in order to achieve greater validity. Authors identified 39 barriers to EHR adoption within the literature selected for the review. These barriers appeared 125 times in the literature; the most frequently mentioned barriers were regarding cost, technical concerns, technical support, and resistance to change. Despite federal and local incentives, the initial cost of adopting an EHR is a common existing barrier. The other most commonly mentioned barriers include technical support, technical concerns, and maintenance/ongoing costs. Policy makers should consider incentives that continue to reduce implementation cost, possibly aimed more directly at organizations that are known to have lower adoption rates, such as small hospitals in rural areas.","systematic review","Journal of Medical Systems","1","10.1007/s10916-016-0628-9","https://consensus.app/papers/barriers-to-electronic-health-record-adoption-a-kruse-kristof/ff41629909dc537dad58e8808a52f7b6/"
"Adoption Factors of the Electronic Health Record: A Systematic Review","EHR adoption in the US is influenced by efficiency, hospital size, quality, access to data, perceived value, and ability to transfer information, while barriers include cost, time, and perceived uselessness.","C. Kruse, Krysta Kothman, Keshia Anerobi, Lillian Abanaka",2016,137,"The Health Information Technology for Economic and Clinical Health (HITECH) was a significant piece of legislation in America that served as a catalyst for the adoption of health information technology. Following implementation of the HITECH Act, Health Information Technology (HIT) experienced broad adoption of Electronic Health Records (EHR), despite skepticism exhibited by many providers for the transition to an electronic system. A thorough review of EHR adoption facilitator and barriers provides ongoing support for the continuation of EHR implementation across various health care structures, possibly leading to a reduction in associated economic expenditures. The purpose of this review is to compile a current and comprehensive list of facilitators and barriers to the adoption of the EHR in the United States. Authors searched Cumulative Index of Nursing and Allied Health Literature (CINAHL) and MEDLINE, 01/01/2012-09/01/2015, core clinical/academic journals, MEDLINE full text, and evaluated only articles germane to our research objective. Team members selected a final list of articles through consensus meetings (n=31). Multiple research team members thoroughly read each article to confirm applicability and study conclusions, thereby increasing validity. Group members identified common facilitators and barriers associated with the EHR adoption process. In total, 25 adoption facilitators were identified in the literature occurring 109 times; the majority of which were efficiency, hospital size, quality, access to data, perceived value, and ability to transfer information. A total of 23 barriers to adoption were identified in the literature, appearing 95 times; the majority of which were cost, time consuming, perception of uselessness, transition of data, facility location, and implementation issues. The 25 facilitators and 23 barriers to the adoption of the EHR continue to reveal a preoccupation on cost, despite incentives in the HITECH Act. Limited financial backing and outdated technology were also common barriers frequently mentioned during data review. Future public policy should include incentives commensurate with those in the HITECH Act to maintain strong adoption rates.","systematic review","JMIR Medical Informatics","2","10.2196/medinform.5525","https://consensus.app/papers/adoption-factors-of-the-electronic-health-record-a-kruse-kothman/6b188444b9b85afd8a729438db2191d4/"
"Barriers to implement Electronic Health Records (EHRs)","Resistance to change is the most significant barrier to implementing Electronic Health Records (EHRs), followed by cost constraints, technical limitations, and organizational constraints.","S. Ajami, Razieh Arab-Chadegani",2013,86,"During the past 20 years, with huge advances in information technology and particularly in the areas of health, various forms of electronic records have been studied, analyzed, designed or implemented. An Electronic Health Records (EHRs) is defined as digitally stored healthcare information throughout an individual's lifetime with the purpose of supporting continuity of care, education, and research. The EHRs may include such things as observations, laboratory tests, medical images, treatments, therapies; drugs administered, patient identifying information, legal permissions, and so on. Despite of the potential benefits of electronic health records, implement of this project facing with barriers and restriction ,that the most of these limitations are cost constraints, technical limitations, standardization limits, attitudinal constraints-behavior of individuals and organizational constraints. The aim of this study was to express the main barriers to implement EHRs. This study was unsystematic-review study. The literature was searched on main barriers to implement EHRs with the help of library, books, conference proceedings, data bank, and also searches engines available at Google, Google scholar. For our searches, we employed the following keywords and their combinations: Electronic health record, implement, obstacle, and information technology in the searching areas of title, keywords, abstract, and full text. In this study, more than 43 articles and reports were collected and 32 of them were selected based on their relevancy. Many studies indicate that the most important factor than other limitations to implement the EHR are resistance to change.","systematic review","Materia Socio-Medica","2","10.5455/msm.2013.25.213-215","https://consensus.app/papers/barriers-to-implement-electronic-health-records-ehrs-ajami-arab-chadegani/1fc57859c4775ab38f2a5392afae672d/"
"Organizational Characteristics and the Adoption of Electronic Health Records Among Nursing Homes in One Southern State","Nursing homes in Arkansas with greater resources and in competitive markets are more likely to adopt electronic health records (EHRs).","H. Felix, Neeraj Dayama, Michael E. Morris, Rohit Pradhan, C. Bradway",2020,7,"Electronic health records (EHRs) can improve quality of care and patient safety, as demonstrated in a variety of health care settings. However, greater use of EHRs in nursing homes (NHs) is needed. To understand which NHs have and have not adopted EHR systems, all federally certified NHs in Arkansas (= 223) were surveyed, with 27.9% responding. Non-responders were similar to responders on all characteristics except for staffing skill mix, with responders having a higher skill mix than non-responders. Two thirds of responding Arkansas NHs reported having an EHR system in use (69.8%), while only a few reported no plans for an EHR system (4.8%). NHs with greater resources and in competitive markets were more likely to implement EHR systems. Full implementation across all NHs may require intervention, which should be explored in future research. In addition, future investigation should consider the level of interoperability of EHR systems that are in place among NHs.","non-rct observational study","Journal of Applied Gerontology","1","10.1177/0733464820906685","https://consensus.app/papers/organizational-characteristics-and-the-adoption-of-felix-dayama/9220b63323b2549d9b8dcf6f0a0f0a67/"
"Successfully implementing a national electronic health record: a rapid umbrella review","Successful electronic health record implementation depends on 15 inter-linked organizational, human, and technological factors, influenced by local context, individual end-users, and advancing technology.","O. Fennelly, C. Cunningham, L. Grogan, H. Cronin, C. O'Shea, Miriam Roche, Fiona Lawlor, N. O'Hare",2020,162,"","systematic review","International Journal of Medical Informatics","1","10.1016/j.ijmedinf.2020.104281","https://consensus.app/papers/successfully-implementing-a-national-electronic-health-fennelly-cunningham/164363cb16555dea9d514392b58ba3b1/"
"Effects of Electronic Health Record Implementation and Barriers to Adoption and Use: A Scoping Review and Qualitative Analysis of the Content","EHR implementation has both positive and negative effects on clinical work, patient care, and economic impact, with barriers including resource constraints, poor training, and technology literacy.","C. Tsai, Aboozar Eghdam, N. Davoody, G. Wright, Stephen Flowerday, S. Koch",2020,260,"Despite the great advances in the field of electronic health records (EHRs) over the past 25 years, implementation and adoption challenges persist, and the benefits realized remain below expectations. This scoping review aimed to present current knowledge about the effects of EHR implementation and the barriers to EHR adoption and use. A literature search was conducted in PubMed, Web of Science, IEEE Xplore Digital Library and ACM Digital Library for studies published between January 2005 and May 2020. In total, 7641 studies were identified of which 142 met the criteria and attained the consensus of all researchers on inclusion. Most studies (n = 91) were published between 2017 and 2019 and 81 studies had the United States as the country of origin. Both positive and negative effects of EHR implementation were identified, relating to clinical work, data and information, patient care and economic impact. Resource constraints, poor/insufficient training and technical/educational support for users, as well as poor literacy and skills in technology were the identified barriers to adoption and use that occurred frequently. Although this review did not conduct a quality analysis of the included papers, the lack of uniformity in the use of EHR definitions and detailed contextual information concerning the study settings could be observed.","systematic review","Life","2","10.3390/life10120327","https://consensus.app/papers/effects-of-electronic-health-record-implementation-and-tsai-eghdam/8853196d4793573b8464ac008a62b5b1/"
"Barriers to Electronic Health Record System Implementation and Information Systems Resources: A Structured Review","People (user resistance and lack of skills) and procedure resources (concern for return on investment and lack of administrative and policy support) are the primary barriers to overcome in implementing electronic health record systems in healthcare facilities.","Jaillah Mae Gesulga, Almarie Berjame, Kristelle Sheen Moquiala, A. Galido",2017,107,"","literature review","Procedia Computer Science","","10.1016/j.procs.2017.12.188","https://consensus.app/papers/barriers-to-electronic-health-record-system-gesulga-berjame/6c4563ae1a3a5c4c86421dd62590ec05/"
"Improving Medication Reconciliation with Comprehensive Evaluation at a Veterans Affairs Skilled Nursing Facility.","Quality improvement methods, such as HFMEA, can effectively improve medication reconciliation in skilled nursing facilities, reducing unintentional medication discrepancies and enhancing patient safety.","Amy W. Baughman, Laura K. Triantafylidis, Nicole O'Neil, J. Norstrom, K. Okpara, Marcus D. Ruopp, A. Linsky, J. Schnipper, A. Mixon, S. Simon",2021,7,"","non-rct observational study","Joint Commission journal on quality and patient safety","1","10.1016/j.jcjq.2021.06.001","https://consensus.app/papers/improving-medication-reconciliation-with-comprehensive-baughman-triantafylidis/d7c0d0c279d756baad13622f37d72ff2/"
"Use of electronic health record data to examine administrations of pro re nata analgesics during hip fracture post‐acute care","Electronic health record data can help determine precise analgesic exposures during skilled nursing facility stays for hip fracture patients.","M. Riester, Yuan Zhang, K. Hayes, Francesca L. Beaudoin, A. Zullo",2024,1,"Medications prescribed to older adults in US skilled nursing facilities (SNF) and administrations of pro re nata (PRN) ""as needed"" medications are unobservable in Medicare insurance claims. There is an ongoing deficit in our understanding of medication use during post-acute care. Using SNF electronic health record (EHR) datasets, including medication orders and barcode medication administration records, we described patterns of PRN analgesic prescribing and administrations among SNF residents with hip fracture. Eligible participants resided in SNFs owned by 11 chains, had a diagnosis of hip fracture between January 1, 2018 to August 2, 2021, and received at least one administration of an analgesic medication in the 100 days after the hip fracture. We described the scheduling of analgesics, the proportion of available PRN doses administered, and the proportion of days with at least one PRN analgesic administration. Among 24 038 residents, 57.3% had orders for PRN acetaminophen, 67.4% PRN opioids, 4.2% PRN non-steroidal anti-inflammatory drugs, and 18.6% PRN combination products. The median proportion of available PRN doses administered per drug was 3%-50% and the median proportion of days where one or more doses of an ordered PRN analgesic was administered was 25%-75%. Results differed by analgesic class and the number of administrations ordered per day. EHRs can be leveraged to ascertain precise analgesic exposures during SNF stays. Future pharmacoepidemiology studies should consider linking SNF EHRs to insurance claims to construct a longitudinal history of medication use and healthcare utilization prior to and during episodes of SNF care.","non-rct observational study","Pharmacoepidemiology and Drug Safety","1","10.1002/pds.5846","https://consensus.app/papers/use-of-electronic-health-record-data-to-examine-riester-zhang/95fda15251ec5506a53658210b06dbbd/"
